Order ID,Audit Id,Order Date,Old Commerce ID,Customer ID,Customer Name,Customer Account,Billing Contact Type,Billing Contact ID,Billing Contact Name,Billing Account Salesforce ID,Billing Account Name,Billing State,Billing Country,Account Owner,Project Manager,Sales Vertical,Order Sales Vertical,PO Number,VAT Number,Deferred Revenue Order ID,Quote ID,Credit Memo Order,Refunded Order ID,Order Type,Discount,Order Grand Total,Order Total,Rev Rec Total,Order Gross Asset Subtotal,Order Net Asset Subtotal,Order Fee Subtotal,Order Tax Subtotal,Order Total Discount,Revenue Date,License Start Date,Balance Due,Amount Paid,AR Paid,Payment Terms,Payment Due Date,Payment Settled Date,Days Past Due,Project Name,Client Name,Order Item Type,Order Item Asset Name,Order Item Original Name,Order Item Description,Supplier Source Id,Supplier Program Id,Supplier Media Id,Order Item Fee Type,Asset Rights,Asset Supplier,Rights,Asset Start,Asset End,Asset Discount,Asset Price Book Price,Asset Multiplier,Asset Gross Price,Asset Revenue,Asset Tax Rate,Asset Tax Amount,Clearance Fee,Clearance Initiation Fee,Footage Assurance Fee ,General Fee ,Fee Tax Rate,Fee Tax Amount,Asset Technology Rate,Asset Technology Fee,Asset Royalty Revenue,Asset Royalty Rate,Asset Royalty Amount,Royalty Rate 1,Royalty Rate 2,Rights
234403,2967,2025-03-20,,37320,Giang test,Public,User,37320,Giang test,,Public,NY ,United States,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,false,,SystemLicense,,"3,525.00","3,525.00","3,525.00","3,525.00","3,525.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"3,525.00",3525.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,2B10986DC_xxx,CBS-W157150,DC ZOO'S RARE BENGAL TIGER IS SUFFERING FROM OLD AGE,,CBS-W157150,,,Rights Managed,CBS News Archive,,-1,-2,,"1,125.00",1.00,"1,125.00","1,125.00",,0.00,,,,,,0.00,.25,281.25,843.75,.20,168.75,,,Project Type : Entertainment;Distribution : Non-Broadcast Media;Use : Feature Film - Playback;Territory : Worldwide;Term : Perpetuity;Duration : Up To 10 Seconds
234403,2967,2025-03-20,,37320,Giang test,Public,User,37320,Giang test,,Public,NY ,United States,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,false,,SystemLicense,,"3,525.00","3,525.00","3,525.00","3,525.00","3,525.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"3,525.00",3525.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,2B102B332_xxx,CBS-SX820516A,THE NAZI CONNECTION,,CBS-SX820516A,,,Rights Managed,CBS News Archive,,-1,-2,,"2,400.00",1.00,"2,400.00","2,400.00",,0.00,,,,,,0.00,.25,600.00,"1,800.00",.20,360.00,,,Project Type : Education;Distribution : Museum;Use :  Single Location Exhibit;Territory : Single Location;Term : Perpetuity;Duration : Up To 60 Seconds
234404,2968,2025-03-20,,37320,Giang test,Public,User,37320,Giang test,,Public,NY ,United States,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,true,234403,SystemLicense,,"-3,525.00","-3,525.00","-3,525.00","-3,525.00","-3,525.00",0.00,0.00,0.00,2025-03-20,2025-03-20,-3525.00,0.00,,Net 30,2025-04-19,,,Base Project Name Test,Giang test,Asset,2B10986DC_xxx,CBS-W157150,DC ZOO'S RARE BENGAL TIGER IS SUFFERING FROM OLD AGE,,CBS-W157150,,,Rights Managed,CBS News Archive,,-1,-2,,"-1,125.00",1.00,"-1,125.00","-1,125.00",,0.00,,,,,,0.00,.25,-281.25,-843.75,.20,-168.75,,,Project Type : Entertainment;Distribution : Non-Broadcast Media;Use : Feature Film - Playback;Territory : Worldwide;Term : Perpetuity;Duration : Up To 10 Seconds
234404,2968,2025-03-20,,37320,Giang test,Public,User,37320,Giang test,,Public,NY ,United States,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,true,234403,SystemLicense,,"-3,525.00","-3,525.00","-3,525.00","-3,525.00","-3,525.00",0.00,0.00,0.00,2025-03-20,2025-03-20,-3525.00,0.00,,Net 30,2025-04-19,,,Base Project Name Test,Giang test,Asset,2B102B332_xxx,CBS-SX820516A,THE NAZI CONNECTION,,CBS-SX820516A,,,Rights Managed,CBS News Archive,,-1,-2,,"-2,400.00",1.00,"-2,400.00","-2,400.00",,0.00,,,,,,0.00,.25,-600.00,"-1,800.00",.20,-360.00,,,Project Type : Education;Distribution : Museum;Use :  Single Location Exhibit;Territory : Single Location;Term : Perpetuity;Duration : Up To 60 Seconds
234405,2969,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,111,111,,,false,,SystemLicense,,"3,600.00","3,600.00","3,600.00","3,600.00","3,600.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"3,600.00",3600.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,1QWA06_PZ04EF5828,s3-collab-deferredmaster-or-1.s3.amazonaws.com/449880/449880.MOV,Grey pigeon bird standing on top of guys head who is wearing a blue jacket and a medical mask sitting on the subway train,,,,,Rights Managed,Collab,Project Type : Education;Distribution : Museum;Use : Multiple Location Exhibit;Territory : Worldwide;Term : Perpetuity;Duration : Up To 60 Seconds,-1,-2,,750.00,1.00,750.00,750.00,,0.00,,,,,,0.00,.25,187.50,562.50,.20,112.50,,,Project Type : Entertainment;Distribution : Non-Broadcast Media;Use : Limited Theatrical;Territory : Worldwide;Term : Perpetuity;Duration : Up To 10 Seconds
234405,2969,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,111,111,,,false,,SystemLicense,,"3,600.00","3,600.00","3,600.00","3,600.00","3,600.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"3,600.00",3600.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,1QWA1E_HQ2YP8ZHTR,s3-collab-deferredmaster-or-1.s3.amazonaws.com/453257/453257.mp4,angry about toy pt2 xd,,,,,Rights Managed,Collab,Project Type : Education;Distribution : Museum;Use : Multiple Location Exhibit;Territory : Worldwide;Term : Perpetuity;Duration : Up To 60 Seconds,-1,-2,,450.00,1.00,450.00,450.00,,0.00,,,,,,0.00,.25,112.50,337.50,.20,67.50,,,Project Type : Entertainment;Distribution : Film Festival;Use : Feature Film - Playback;Territory : Worldwide;Term : 2 Years;Duration : Up To 10 Seconds
234405,2969,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,111,111,,,false,,SystemLicense,,"3,600.00","3,600.00","3,600.00","3,600.00","3,600.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"3,600.00",3600.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,1QWB09_QG8303WTUQ,s3-collab-deferredmaster-or-1.s3.amazonaws.com/250599/250599.MOV,s3-collab-deferredmaster-or-1.s3.amazonaws.com/250599/250599.MOV,,,,,Rights Managed,Collab,Project Type : Education;Distribution : Museum;Use : Multiple Location Exhibit;Territory : Worldwide;Term : Perpetuity;Duration : Up To 60 Seconds,-1,-2,,"2,400.00",1.00,"2,400.00","2,400.00",,0.00,,,,,,0.00,.25,600.00,"1,800.00",.20,360.00,,,Project Type : Education;Distribution : Museum;Use :  Single Location Exhibit;Territory : Single Location;Term : Perpetuity;Duration : Up To 60 Seconds
234406,2970,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,true,234405,SystemLicense,,"-1,200.00","-1,200.00","-1,200.00","-1,200.00","-1,200.00",0.00,0.00,0.00,2025-03-20,2025-03-20,-1200.00,0.00,,Net 30,2025-04-19,,,Base Project Name Test,Giang test,Asset,1QWA06_PZ04EF5828,s3-collab-deferredmaster-or-1.s3.amazonaws.com/449880/449880.MOV,Grey pigeon bird standing on top of guys head who is wearing a blue jacket and a medical mask sitting on the subway train,,,,,Rights Managed,Collab,Project Type : Education;Distribution : Museum;Use : Multiple Location Exhibit;Territory : Worldwide;Term : Perpetuity;Duration : Up To 60 Seconds,-1,-2,,-750.00,1.00,-750.00,-750.00,,0.00,,,,,,0.00,.25,-187.50,-562.50,.20,-112.50,,,Project Type : Entertainment;Distribution : Non-Broadcast Media;Use : Limited Theatrical;Territory : Worldwide;Term : Perpetuity;Duration : Up To 10 Seconds
234406,2970,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,,,,,true,234405,SystemLicense,,"-1,200.00","-1,200.00","-1,200.00","-1,200.00","-1,200.00",0.00,0.00,0.00,2025-03-20,2025-03-20,-1200.00,0.00,,Net 30,2025-04-19,,,Base Project Name Test,Giang test,Asset,1QWA1E_HQ2YP8ZHTR,s3-collab-deferredmaster-or-1.s3.amazonaws.com/453257/453257.mp4,angry about toy pt2 xd,,,,,Rights Managed,Collab,Project Type : Education;Distribution : Museum;Use : Multiple Location Exhibit;Territory : Worldwide;Term : Perpetuity;Duration : Up To 60 Seconds,-1,-2,,-450.00,1.00,-450.00,-450.00,,0.00,,,,,,0.00,.25,-112.50,-337.50,.20,-67.50,,,Project Type : Entertainment;Distribution : Film Festival;Use : Feature Film - Playback;Territory : Worldwide;Term : 2 Years;Duration : Up To 10 Seconds
234407,2971,2025-03-20,,37322,Giang test,Public,User,37322,Giang test,,Public,BY,Albania,dev-den@veritone.com.invalid,,Agency_Brands,,122,122,,,false,,SystemLicense,,"2,400.00","2,400.00","2,400.00","2,400.00","2,400.00",0.00,0.00,0.00,2025-03-20,2025-03-20,,"2,400.00",2400.00,Net 30,2025-04-19,2025-03-20,,Base Project Name Test,Giang test,Asset,1QW7FE_4CEUBUXHM0,s3-collab-deferredmaster-or-1.s3.amazonaws.com/173757/173757_FB1E896E-1FAC-465B-87C7-128FAAAFE15E.MOV,"We were in Denver for a UFC event and were touring on birds. We convinced our friend to try to ride down , guy on scooter goes down large ramp next to freeway falls back",,,,,Rights Managed,Collab,,-1,-2,,"2,400.00",1.00,"2,400.00","2,400.00",,0.00,,,,,,0.00,.25,600.00,"1,800.00",.20,360.00,,,Project Type : Education;Distribution : Museum;Use :  Single Location Exhibit;Territory : Single Location;Term : Perpetuity;Duration : Up To 60 Seconds
